"","x"
"168","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nereidoidea
Family Syllidae
Subfamily Exogoninae
Genus Exogone
Species Exogone naidina"
"169","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nereidoidea
Family Syllidae
Subfamily Exogoninae
Genus Exogone
Species Exogone verugera"
"170","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Sabellida
Family Sabellidae
Subfamily Fabriciinae
Genus Fabricia
Species Fabricia stellaris"
"171","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Sabellida
Family Sabellidae
Subfamily Fabriciinae
Genus Fabriciola
Species Fabriciola baltica"
"172","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Sabellida
Family Serpulidae
Subfamily Serpulinae
Genus Ficopomatus
Species Ficopomatus enigmaticus"
"173","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Sabellida
Family Serpulidae
Subfamily Serpulinae
Genus Filograna
Species Filograna implexa"
"174","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Flabelligerida
Family Flabelligeridae
Genus Flabelligera
Species Flabelligera affinis"
"175","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Aphroditoidea
Family Polynoidae
Genus Gattyana
Species Gattyana amondseni"
"176","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Aphroditoidea
Family Polynoidae
Genus Gattyana
Species Gattyana cirrosa"
"177","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Glyceroidae
Family Glyceridae
Genus Glycera
Species Glycera alba"
"178","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Glyceroidae
Family Glyceridae
Genus Glycera
Species Glycera capitata"
"179","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Glyceroidae
Family Glyceridae
Genus Glycera
Species Glycera gigantea"
"180","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Glyceroidae
Family Glyceridae
Genus Glycera
Species Glycera lapidum"
"181","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Glyceroidae
Family Glyceridae
Genus Glycera
Species Glycera rouxii"
"182","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Glyceroidae
Family Glyceridae
Genus Glycera
Species Glycera tesselata"
"183","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Glyceroidae
Family Glyceridae
Genus Glycera
Species Glycera tridactyla"
"184","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Glyceroidae
Family Glyceridae
Genus Glycera
Species Glycera unicornis"
"185","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Glyceroidae
Family Goniadidae
Genus Glycinde
Species Glycinde nordmanni"
"186","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Glyceroidae
Family Goniadidae
Genus Goniada
Species Goniada maculata"
"187","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Glyceroidae
Family Goniadidae
Genus Goniada
Species Goniada norvegica"
"188","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Glyceroidae
Family Goniadidae
Genus Goniada
Species Goniada pallida"
"189","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Glyceroidae
Family Goniadidae
Genus Goniadella
Species Goniadella bobretzkii"
"190","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nereidoidea
Family Hesionidae
Subfamily Hesioninae
Genus Gyptis
Species Gyptis mackiei"
"191","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nereidoidea
Family Hesionidae
Subfamily Hesioninae
Genus Gyptis
Species Gyptis propinqua"
"192","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nereidoidea
Family Hesionidae
Subfamily Hesioninae
Genus Gyptis
Species Gyptis rosea"
"193","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Eunicida
Superfamily Eunicoidea
Family Oenonidae
Genus Haematocleptes
Species Haematocleptes terebellidis"
"194","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Aphroditoidea
Family Polynoidae
Genus Harmothoe
Species Harmothoe antilopes"
"195","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Aphroditoidea
Family Polynoidae
Genus Harmothoe
Species Harmothoe aspera"
"196","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Aphroditoidea
Family Polynoidae
Genus Harmothoe
Species Harmothoe borealis"
"197","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Aphroditoidea
Family Polynoidae
Genus Harmothoe
Species Harmothoe extenuata"
"198","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Aphroditoidea
Family Polynoidae
Genus Harmothoe
Species Harmothoe fragilis"
"199","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Aphroditoidea
Family Polynoidae
Genus Harmothoe
Species Harmothoe imbricata"
"200","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Aphroditoidea
Family Polynoidae
Genus Harmothoe
Species Harmothoe impar"
"201","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Aphroditoidea
Family Polynoidae
Genus Harmothoe
Species Harmothoe pagenstecheri"
"202","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Aphroditoidea
Family Polynoidae
Genus Harmothoe
Species Harmothoe spinifera"
"203","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Aphroditoidea
Family Polynoidae
Genus Harmothoe
Species Harmothoe viridis"
"204","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Terebellida
Family Terebellidae
Subfamily Polycirrinae
Genus Hauchiella
Species Hauchiella tribullata"
"205","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Amphinomida
Family Amphinomidae
Genus Hermodice
Species Hermodice carunculata"
"206","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Aphroditoidea
Family Aphroditidae
Genus Hermonia
Species Hermonia hystrix"
"207","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nereidoidea
Family Hesionidae
Subfamily Microphthalminae
Genus Hesionides
Species Hesionides arenaria"
"208","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nereidoidea
Family Hesionidae
Subfamily Microphthalminae
Genus Hesionides
Species Hesionides maxima"
"209","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Phyllodocoidea
Family Phyllodocidae
Genus Hesionura
Species Hesionura elongata"
"210","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Capitellida
Family Capitellidae
Genus Heteromastus
Species Heteromastus filiformis"
"211","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Eunicida
Superfamily Eunicoidea
Family Histriobdellidae
Genus Histriobdella
Species Histriobdella homari"
"212","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Eunicida
Superfamily Eunicoidea
Family Onuphidae
Subfamily Hyalinoecinae
Genus Hyalinoecia
Species Hyalinoecia tubicola"
"213","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Sabellida
Family Serpulidae
Subfamily Serpulinae
Genus Hydroides
Species Hydroides elegans"
"214","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Sabellida
Family Serpulidae
Subfamily Serpulinae
Genus Hydroides
Species Hydroides norvegica"
"215","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Terebellida
Family Ampharetidae
Subfamily Ampharetinae
Genus Hypania
Species Hypania invalida"
"216","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Eunicida
Superfamily Eunicoidea
Family Dorvilleidae
Genus Iphitime
Species Iphitime hartmanae"
"217","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Capitellida
Family Maldanidae
Subfamily Euclymeninae
Genus Isocirrus
Species Isocirrus planiceps"
"218","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Sabellida
Family Serpulidae
Subfamily Spirorbinae
Genus Janua
Species Janua brasiliensis"
"219","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Sabellida
Family Serpulidae
Subfamily Spirorbinae
Genus Janua
Species Janua pagenstecheri"
"220","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Sabellida
Family Sabellidae
Subfamily Fabriciinae
Genus Jasmineira
Species Jasmineira candela"
"221","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Sabellida
Family Sabellidae
Subfamily Fabriciinae
Genus Jasmineira
Species Jasmineira elegans"
"222","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Sabellida
Family Serpulidae
Subfamily Serpulinae
Genus Josephella
Species Josephella marenzelleri"
"223","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Sabellida
Family Serpulidae
Subfamily Spirorbinae
Genus Jugaria
Species Jugaria granulata"
"224","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nereidoidea
Family Hesionidae
Subfamily Hesioninae
Genus Kefersteinia
Species Kefersteinia cirrata"
"225","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Aphroditoidea
Family Aphroditidae
Genus Laetmonice
Species Laetmonice filicornis"
"226","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Terebellida
Family Terebellidae
Subfamily Terebellinae
Genus Lanassa
Species Lanassa venusta"
"227","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Terebellida
Family Terebellidae
Subfamily Terebellinae
Genus Lanice
Species Lanice conchilega"
"228","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Spionida
Family Spionidae
Genus Laonice
Species Laonice bahusiensis"
"229","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Spionida
Family Spionidae
Genus Laonice
Species Laonice cirrata"
"230","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Spionida
Family Spionidae
Genus Laonice
Species Laonice sarsi"
"231","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Sabellida
Family Sabellidae
Subfamily Sabellinae
Genus Laonome
Species Laonome kroeyeri"
"232","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Aphroditoidea
Family Polynoidae
Genus Lepidonotus
Species Lepidonotus clava"
"233","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Aphroditoidea
Family Polynoidae
Genus Lepidonotus
Species Lepidonotus squamatus"
"234","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Aphroditoidea
Family Polynoidae
Genus Leucia
Species Leucia nivea"
"235","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Cirratulida
Family Paraonidae
Genus Levinsenia
Species Levinsenia gracilis"
"236","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Opheliida
Family Scalibregmatidae
Genus Lipobranchus
Species Lipobranchus jeffreysii"
"237","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Capitellida
Family Maldanidae
Subfamily Lumbriclymeninae
Genus Lumbriclymene
Species Lumbriclymene cylindricauda"
"238","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Capitellida
Family Maldanidae
Subfamily Lumbriclymeninae
Genus Lumbriclymene
Species Lumbriclymene minor"
"239","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Eunicida
Superfamily Eunicoidea
Family Lumbrineridae
Genus Lumbrineris
Species Lumbrineris agastos"
"240","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Eunicida
Superfamily Eunicoidea
Family Lumbrineridae
Genus Lumbrineris
Species Lumbrineris aniara"
"241","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Eunicida
Superfamily Eunicoidea
Family Lumbrineridae
Genus Lumbrineris
Species Lumbrineris fragilis"
"242","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Eunicida
Superfamily Eunicoidea
Family Lumbrineridae
Genus Lumbrineris
Species Lumbrineris gracilis"
"243","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Eunicida
Superfamily Eunicoidea
Family Lumbrineridae
Genus Lumbrineris
Species Lumbrineris latreilli"
"244","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Eunicida
Superfamily Eunicoidea
Family Lumbrineridae
Genus Lumbrineris
Species Lumbrineris magnidentata"
"245","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Eunicida
Superfamily Eunicoidea
Family Lumbrineridae
Genus Lumbrineris
Species Lumbrineris tetraura"
"246","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Terebellida
Family Terebellidae
Subfamily Polycirrinae
Genus Lysilla
Species Lysilla loveni"
"247","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Terebellida
Family Ampharetidae
Subfamily Ampharetinae
Genus Lysippe
Species Lysippe labiata"
"248","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Terebellida
Family Ampharetidae
Subfamily Ampharetinae
Genus Lysippides
Species Lysippides fragilis"
"249","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Flabelligerida
Family Acrocirridae
Genus Macrochaeta
Species Macrochaeta bansei"
"250","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Flabelligerida
Family Acrocirridae
Genus Macrochaeta
Species Macrochaeta clavicornis"
"251","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Flabelligerida
Family Acrocirridae
Genus Macrochaeta
Species Macrochaeta helgolandica"
"252","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Flabelligerida
Family Acrocirridae
Genus Macrochaeta
Species Macrochaeta polyonyx"
"253","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Magelonida
Family Magelonidae
Genus Magelona
Species Magelona alleni"
"254","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Magelonida
Family Magelonidae
Genus Magelona
Species Magelona filiformis"
"255","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Magelonida
Family Magelonidae
Genus Magelona
Species Magelona minuta"
"256","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Magelonida
Family Magelonidae
Genus Magelona
Species Magelona mirabilis"
"257","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Spionida
Family Spionidae
Genus Malacoceros
Species Malacoceros fuliginosus"
"258","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Spionida
Family Spionidae
Genus Malacoceros
Species Malacoceros tetracerus"
"259","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Spionida
Family Spionidae
Genus Malacoceros
Species Malacoceros vulgaris"
"260","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Capitellida
Family Maldanidae
Subfamily Maldaninae
Genus Maldane
Species Maldane arctica"
"261","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Capitellida
Family Maldanidae
Subfamily Maldaninae
Genus Maldane
Species Maldane sarsi"
"262","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Aphroditoidea
Family Polynoidae
Genus Malmgrenia
Species Malmgrenia andreapolis"
"263","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Aphroditoidea
Family Polynoidae
Genus Malmgrenia
Species Malmgrenia arenicolae"
"264","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Aphroditoidea
Family Polynoidae
Genus Malmgrenia
Species Malmgrenia castanea"
"265","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Aphroditoidea
Family Polynoidae
Genus Malmgrenia
Species Malmgrenia furcosetosa"
"266","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Aphroditoidea
Family Polynoidae
Genus Malmgrenia
Species Malmgrenia glabra"
"267","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Aphroditoidea
Family Polynoidae
Genus Malmgrenia
Species Malmgrenia ljungmani"
"268","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Aphroditoidea
Family Polynoidae
Genus Malmgrenia
Species Malmgrenia lunulata"
"269","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Aphroditoidea
Family Polynoidae
Genus Malmgrenia
Species Malmgrenia marphysae"
"270","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Aphroditoidea
Family Polynoidae
Genus Malmgrenia
Species Malmgrenia mcintoshi"
"271","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Sabellida
Family Sabellidae
Subfamily Fabriciinae
Genus Manayunkia
Species Manayunkia aestuarina"
"272","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Spionida
Family Spionidae
Genus Marenzelleria
Species Marenzelleria viridis"
"273","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Spionida
Family Spionidae
Genus Marenzelleria
Species Marenzelleria wireni"
"274","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Eunicida
Superfamily Eunicoidea
Family Eunicidae
Genus Marphysa
Species Marphysa sanguinea"
"275","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Capitellida
Family Capitellidae
Genus Mediomastus
Species Mediomastus fragilis"
"276","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Family Nerillidae
Genus Meganerilla
Species Meganerilla swedmarki"
"277","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Terebellida
Family Ampharetidae
Subfamily Melinninae
Genus Melinna
Species Melinna cristata"
"278","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Terebellida
Family Ampharetidae
Subfamily Melinninae
Genus Melinna
Species Melinna elisabethae"
"279","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Capitellida
Family Maldanidae
Subfamily Euclymeninae
Genus Microclymene
Species Microclymene acirrata"
"280","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nereidoidea
Family Hesionidae
Subfamily Microphthalminae
Genus Microphthalmus
Species Microphthalmus aberrans"
"281","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nereidoidea
Family Hesionidae
Subfamily Microphthalminae
Genus Microphthalmus
Species Microphthalmus bifurcatus"
"282","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nereidoidea
Family Hesionidae
Subfamily Microphthalminae
Genus Microphthalmus
Species Microphthalmus fragilis"
"283","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nereidoidea
Family Hesionidae
Subfamily Microphthalminae
Genus Microphthalmus
Species Microphthalmus listensis"
"284","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nereidoidea
Family Hesionidae
Subfamily Microphthalminae
Genus Microphthalmus
Species Microphthalmus sczelkowii"
"285","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nereidoidea
Family Hesionidae
Subfamily Microphthalminae
Genus Microphthalmus
Species Microphthalmus similis"
"286","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Spionida
Family Spionidae
Genus Microspio
Species Microspio mecznikowianus"
"287","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Terebellida
Family Ampharetidae
Subfamily Ampharetinae
Genus Mugga
Species Mugga wahrbergi"
"288","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Oweniida
Family Oweniidae
Genus Myriochele
Species Myriochele danielsseni"
"289","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Oweniida
Family Oweniidae
Genus Myriochele
Species Myriochele oculata"
"290","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Phyllodocoidea
Family Phyllodocidae
Genus Mystides
Species Mystides caeca"
"291","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Phyllodocoidea
Family Phyllodocidae
Genus Mystides
Species Mystides southerni"
"292","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Sabellida
Family Sabellidae
Subfamily Myxicolinae
Genus Myxicola
Species Myxicola infundibulum"
"293","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Orbiniida
Family Orbiniidae
Subfamily Orbiniinae
Genus Naineris
Species Naineris quadricuspida"
"294","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Terebellida
Family Terebellidae
Subfamily Terebellinae
Genus Neoamphitrite
Species Neoamphitrite affinis"
"295","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Terebellida
Family Terebellidae
Subfamily Terebellinae
Genus Neoamphitrite
Species Neoamphitrite figulus"
"296","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Terebellida
Family Terebellidae
Subfamily Terebellinae
Genus Neoamphitrite
Species Neoamphitrite grayi"
"297","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Terebellida
Family Terebellidae
Subfamily Terebellinae
Genus Neoamphitrite
Species Neoamphitrite groenlandica"
"298","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Aphroditoidea
Family Sigalionidae
Genus Neoleanira
Species Neoleanira tetragona"
"299","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Aphroditoidea
Family Polynoidae
Genus Neopolynoe
Species Neopolynoe paradoxa"
"300","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nephtyoidea
Family Nephtyidae
Genus Nephtys
Species Nephtys assimilis"
"301","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nephtyoidea
Family Nephtyidae
Genus Nephtys
Species Nephtys caeca"
"302","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nephtyoidea
Family Nephtyidae
Genus Nephtys
Species Nephtys ciliata"
"303","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nephtyoidea
Family Nephtyidae
Genus Nephtys
Species Nephtys cirrosa"
"304","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nephtyoidea
Family Nephtyidae
Genus Nephtys
Species Nephtys hombergii"
"305","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nephtyoidea
Family Nephtyidae
Genus Nephtys
Species Nephtys hystricis"
"306","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nephtyoidea
Family Nephtyidae
Genus Nephtys
Species Nephtys incisa"
"307","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nephtyoidea
Family Nephtyidae
Genus Nephtys
Species Nephtys kersivalensis"
"308","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nephtyoidea
Family Nephtyidae
Genus Nephtys
Species Nephtys longosetosa"
"309","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nephtyoidea
Family Nephtyidae
Genus Nephtys
Species Nephtys paradoxa"
"310","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nephtyoidea
Family Nephtyidae
Genus Nephtys
Species Nephtys pente"
"311","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nephtyoidea
Family Nephtyidae
Genus Nephtys
Species Nephtys pulchra"
"312","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nereidoidea
Family Hesionidae
Subfamily Hesioninae
Genus Nereimyra
Species Nereimyra punctata"
"313","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Phyllodocoidea
Family Phyllodocidae
Genus Nereiphylla
Species Nereiphylla lutea"
"314","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nereidoidea
Family Nereididae
Subfamily Nereidinae
Genus Nereis
Species Nereis diversicolor"
"315","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nereidoidea
Family Nereididae
Subfamily Nereidinae
Genus Nereis
Species Nereis elitoralis"
"316","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nereidoidea
Family Nereididae
Subfamily Nereidinae
Genus Nereis
Species Nereis fucata"
"317","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nereidoidea
Family Nereididae
Subfamily Nereidinae
Genus Nereis
Species Nereis irrorata"
"318","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nereidoidea
Family Nereididae
Subfamily Nereidinae
Genus Nereis
Species Nereis longissima"
"319","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nereidoidea
Family Nereididae
Subfamily Nereidinae
Genus Nereis
Species Nereis pelagica"
"320","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nereidoidea
Family Nereididae
Subfamily Nereidinae
Genus Nereis
Species Nereis succinea"
"321","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nereidoidea
Family Nereididae
Subfamily Nereidinae
Genus Nereis
Species Nereis virens"
"322","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nereidoidea
Family Nereididae
Subfamily Nereidinae
Genus Nereis
Species Nereis zonata"
"323","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Family Nerillidae
Genus Nerilla
Species Nerilla antennata"
"324","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Family Nerillidae
Genus Nerillidium
Species Nerillidium gracile"
"325","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Family Nerillidae
Genus Nerillidium
Species Nerillidium marinum"
"326","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Family Nerillidae
Genus Nerillidium
Species Nerillidium troglochaetoides"
"327","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Terebellida
Family Terebellidae
Subfamily Terebellinae
Genus Nicolea
Species Nicolea venustula"
"328","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Terebellida
Family Terebellidae
Subfamily Terebellinae
Genus Nicolea
Species Nicolea zostericola"
"329","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Capitellida
Family Maldanidae
Subfamily Nicomachinae
Genus Nicomache
Species Nicomache lumbricalis"
"330","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Capitellida
Family Maldanidae
Subfamily Nicomachinae
Genus Nicomache
Species Nicomache minor"
"331","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Capitellida
Family Maldanidae
Subfamily Nicomachinae
Genus Nicomache
Species Nicomache personata"
"332","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Capitellida
Family Maldanidae
Subfamily Nicomachinae
Genus Nicomache
Species Nicomache trispinata"
